date,income,income_currency,expense,expense_currency,category
2026-05-01,0.0,RUB,1577.98,RUB,Housing
2026-05-02,0.0,RUB,2711.37,RUB,Food
2026-05-03,0.0,RUB,6183.1,RUB,Food
2026-05-04,0.0,RUB,1819.35,RUB,Other
2026-05-05,3000.0,RUB,1923.44,RUB,Housing
2026-05-06,0.0,RUB,1604.88,RUB,Food
2026-05-07,0.0,RUB,1429.03,RUB,Shopping
2026-05-08,0.0,RUB,1963.47,RUB,Shopping
2026-05-09,0.0,RUB,1871.11,RUB,Housing
2026-05-10,85000.0,RUB,2368.28,RUB,Entertainment
2026-05-11,0.0,RUB,1279.31,RUB,Transport
2026-05-12,0.0,RUB,1708.71,RUB,Food
2026-05-13,0.0,RUB,1097.13,RUB,Food
2026-05-14,0.0,RUB,1762.17,RUB,Shopping
2026-05-15,0.0,RUB,1170.49,RUB,Shopping
2026-05-16,0.0,RUB,2242.15,RUB,Entertainment
2026-05-17,0.0,RUB,2541.29,RUB,Food
2026-05-18,0.0,RUB,3215.14,RUB,Entertainment
2026-05-19,0.0,RUB,1252.44,RUB,Health
2026-05-20,0.0,RUB,1086.35,RUB,Housing
2026-05-21,0.0,RUB,1309.35,RUB,Entertainment
2026-05-22,0.0,RUB,58.04,USD,Transport
2026-05-23,0.0,RUB,2657.68,RUB,Housing
2026-05-24,0.0,RUB,1363.36,RUB,Food
2026-05-25,12000.0,RUB,1509.82,RUB,Entertainment
2026-05-26,0.0,RUB,1516.59,RUB,Entertainment
2026-05-27,0.0,RUB,3141.85,RUB,Food
2026-05-28,0.0,RUB,947.75,RUB,Housing
2026-05-29,0.0,RUB,1455.25,RUB,Food
2026-05-30,0.0,RUB,2532.5,RUB,Transport
2026-05-31,0.0,RUB,2048.18,RUB,Transport
2026-06-01,0.0,RUB,894.47,RUB,Other
2026-06-02,0.0,RUB,1069.7,RUB,Food
2026-06-03,0.0,RUB,2800.37,RUB,Entertainment
2026-06-04,0.0,RUB,1363.72,RUB,Food
2026-06-05,0.0,RUB,724.53,RUB,Transport
2026-06-06,0.0,RUB,1713.8,RUB,Shopping
2026-06-07,0.0,RUB,1755.83,RUB,Housing
2026-06-08,0.0,RUB,2122.75,RUB,Entertainment
2026-06-09,0.0,RUB,1525.3,RUB,Food
2026-06-10,85000.0,RUB,1800.75,RUB,Food
2026-06-11,0.0,RUB,950.72,RUB,Food
2026-06-12,0.0,RUB,1286.28,RUB,Transport
2026-06-13,0.0,RUB,1955.56,RUB,Other
2026-06-14,0.0,RUB,2303.78,RUB,Food
2026-06-15,1500.0,RUB,2673.82,RUB,Other
2026-06-16,0.0,RUB,554.54,RUB,Food
2026-06-17,0.0,RUB,108.58,USD,Housing
2026-06-18,0.0,RUB,5383.37,RUB,Health
2026-06-19,0.0,RUB,1245.75,RUB,Transport
2026-06-20,2500.0,RUB,2184.68,RUB,Food
2026-06-21,0.0,RUB,1329.79,RUB,Food
2026-06-22,0.0,RUB,2343.96,RUB,Shopping
2026-06-23,0.0,RUB,1070.77,RUB,Other
2026-06-24,0.0,RUB,1384.21,RUB,Food
2026-06-25,12000.0,RUB,1637.35,RUB,Food
2026-06-26,0.0,RUB,913.27,RUB,Shopping
2026-06-27,0.0,RUB,6203.99,RUB,Shopping
2026-06-28,0.0,RUB,2948.9,RUB,Shopping
2026-06-29,0.0,RUB,1914.64,RUB,Food
2026-06-30,0.0,RUB,1526.96,RUB,Other
2026-07-01,0.0,RUB,2143.39,RUB,Shopping
2026-07-02,0.0,RUB,1289.06,RUB,Health
2026-07-03,0.0,RUB,3540.26,RUB,Shopping
2026-07-04,0.0,RUB,35.26,USD,Food
2026-07-05,1500.0,RUB,2518.56,RUB,Food
2026-07-06,0.0,RUB,1095.84,RUB,Health
2026-07-07,0.0,RUB,1309.67,RUB,Entertainment
2026-07-08,0.0,RUB,1462.87,RUB,Food
2026-07-09,0.0,RUB,1246.65,RUB,Transport
2026-07-10,85000.0,RUB,1676.01,RUB,Other
2026-07-11,0.0,RUB,1647.64,RUB,Food
2026-07-12,0.0,RUB,2214.77,RUB,Food
2026-07-13,0.0,RUB,1545.86,RUB,Other
2026-07-14,0.0,RUB,1091.64,RUB,Shopping
2026-07-15,0.0,RUB,1201.9,RUB,Food
2026-07-16,0.0,RUB,1143.78,RUB,Shopping
2026-07-17,0.0,RUB,1381.68,RUB,Health
2026-07-18,0.0,RUB,5037.18,RUB,Transport
2026-07-19,0.0,RUB,2038.73,RUB,Shopping
2026-07-20,1500.0,RUB,2344.28,RUB,Food
2026-07-21,0.0,RUB,2221.5,RUB,Food
2026-07-22,0.0,RUB,1295.34,RUB,Food
2026-07-23,0.0,RUB,1035.52,RUB,Food
2026-07-24,0.0,RUB,1632.6,RUB,Transport
2026-07-25,12000.0,RUB,1206.32,RUB,Food
2026-07-26,0.0,RUB,2250.91,RUB,Food
2026-07-27,0.0,RUB,5875.34,RUB,Transport
2026-07-28,0.0,RUB,1450.04,RUB,Shopping
2026-07-29,0.0,RUB,1409.14,RUB,Food
2026-07-30,0.0,RUB,1612.06,RUB,Food
2026-07-31,0.0,RUB,1559.69,RUB,Food
